post_id,user_id,content_type,text_length,hashtag_count,hashtags,likes,shares,comments,post_time,hour_of_day,day_of_week,follower_count,is_verified,engagement_rate,sentiment_score,sentiment_label
POST_000079,user_02346,link,510,2,#news|#fashion,129,18,1,2025-08-22 11:59:02,11,Friday,445,False,0.3326,0.415,neutral
POST_000080,user_02595,text,90,1,#sports,4,0,0,2025-09-07 11:59:02,11,Sunday,228,False,0.0175,0.768,positive
POST_000081,user_03279,link,1520,1,#sports,0,0,0,2025-06-07 11:59:02,11,Saturday,8,False,0.0,0.582,neutral
POST_000082,user_02623,video,200,2,#fitness|#photography,37,2,1,2025-09-06 11:59:02,11,Saturday,627,False,0.0638,0.775,positive
POST_000083,user_02283,link,150,2,#travel|#life,2,0,0,2025-08-25 11:59:02,11,Monday,506,False,0.004,0.696,positive
POST_000084,user_00041,video,670,2,#news|#art,0,0,0,2025-06-08 11:59:02,11,Sunday,21,False,0.0,0.721,positive
POST_000085,user_02265,image,290,3,#nature|#gaming|#news,1,0,0,2025-04-09 11:59:02,11,Wednesday,69,False,0.0145,0.881,positive
POST_000086,user_01330,image,80,0,,0,0,0,2025-05-06 11:59:02,11,Tuesday,0,False,0.0,0.837,positive
POST_000087,user_01735,video,130,1,#tech,0,0,0,2025-04-03 11:59:02,11,Thursday,4,False,0.0,0.753,positive
POST_000088,user_02558,text,10,0,,0,0,0,2025-05-24 11:59:02,11,Saturday,39,False,0.0,0.873,positive
POST_000089,user_01736,image,30,0,,2,0,0,2025-04-30 11:59:02,11,Wednesday,121,False,0.0165,0.817,positive
POST_000090,user_00485,text,180,1,#food,0,0,0,2025-06-24 11:59:02,11,Tuesday,15,False,0.0,0.637,positive
POST_000091,user_03375,text,310,2,#photography|#fun,1,0,0,2025-07-22 11:59:02,11,Tuesday,20,True,0.05,0.754,positive
POST_000092,user_01519,text,270,2,#fashion|#work,0,0,0,2025-04-23 11:59:02,11,Wednesday,112,False,0.0,0.87,positive
POST_000093,user_00832,link,300,4,#photography|#gaming|#art|#travel,0,0,0,2025-07-26 11:59:02,11,Saturday,48,False,0.0,0.846,positive
POST_000094,user_00721,image,1320,1,#sports,17,5,0,2025-08-18 11:59:02,11,Monday,782,True,0.0281,0.732,positive
POST_000095,user_01022,text,110,3,#travel|#work|#fun,5,0,0,2025-09-05 11:59:02,11,Friday,200,False,0.025,0.729,positive
POST_000096,user_02990,image,2040,0,,1,0,0,2025-07-18 11:59:02,11,Friday,97,False,0.0103,0.71,positive
POST_000097,user_01886,video,1060,1,#fitness,3,0,0,2025-07-31 11:59:02,11,Thursday,55,False,0.0545,0.801,positive
POST_000098,user_03329,image,220,2,#fun|#gaming,2,0,0,2025-09-18 11:59:02,11,Thursday,63,False,0.0317,0.824,positive
POST_000099,user_00938,text,150,2,#news|#food,2,0,0,2025-05-31 11:59:02,11,Saturday,48,False,0.0417,0.772,positive
POST_000100,user_03388,image,590,3,#art|#photography|#work,6,1,0,2025-05-11 11:59:02,11,Sunday,435,False,0.0161,0.608,positive
POST_000101,user_02442,text,160,0,,28,4,0,2025-09-07 11:59:02,11,Sunday,2759,True,0.0116,0.699,positive
POST_000102,user_01437,text,1620,2,#nature|#fitness,23,6,0,2025-07-25 11:59:02,11,Friday,2249,False,0.0129,0.677,positive
POST_000103,user_00653,text,360,0,,7,0,0,2025-08-06 11:59:02,11,Wednesday,768,False,0.0091,0.736,positive
POST_000104,user_03276,text,30,4,#nature|#travel|#work|#art,7,0,0,2025-04-19 11:59:02,11,Saturday,524,False,0.0134,0.858,positive
POST_000105,user_00171,image,320,2,#life|#gaming,0,0,0,2025-05-20 11:59:02,11,Tuesday,0,False,0.0,0.721,positive
POST_000106,user_01877,image,150,1,#nature,3,0,0,2025-04-03 11:59:02,11,Thursday,148,False,0.0203,0.58,neutral
POST_000107,user_04443,link,120,2,#fitness|#gaming,7,0,0,2025-09-23 11:59:02,11,Tuesday,844,False,0.0083,0.871,positive
POST_000108,user_02201,link,30,2,#food|#gaming,0,0,0,2025-05-10 11:59:02,11,Saturday,9,False,0.0,0.356,negative
POST_000109,user_01883,text,290,0,,0,0,0,2025-05-26 11:59:02,11,Monday,79,True,0.0,0.597,neutral
POST_000110,user_03853,image,200,1,#fitness,1,0,0,2025-07-16 11:59:02,11,Wednesday,61,False,0.0164,0.739,positive
POST_000111,user_04538,text,160,0,,7,1,0,2025-07-12 11:59:02,11,Saturday,585,False,0.0137,0.383,negative
POST_000112,user_00064,text,320,0,,0,0,0,2025-08-07 11:59:02,11,Thursday,4,False,0.0,0.905,positive
POST_000113,user_00591,link,270,1,#work,0,0,0,2025-08-26 11:59:02,11,Tuesday,0,False,0.0,0.751,positive
POST_000114,user_04542,image,1020,4,#work|#news|#fun|#tech,10,2,0,2025-07-26 11:59:02,11,Saturday,341,False,0.0352,0.812,positive
POST_000115,user_03588,image,170,1,#sports,0,0,0,2025-09-13 11:59:02,11,Saturday,14,False,0.0,0.841,positive
POST_000116,user_02121,text,240,0,,0,0,0,2025-06-20 11:59:02,11,Friday,78,False,0.0,0.811,positive
POST_000117,user_04320,video,190,1,#sports,4,1,0,2025-04-01 11:59:02,11,Tuesday,100,False,0.05,0.74,positive
POST_000118,user_04896,image,220,1,#fashion,2,0,0,2025-06-02 11:59:02,11,Monday,28,False,0.0714,0.544,neutral
POST_000119,user_03474,text,150,1,#sports,1,0,0,2025-07-25 11:59:02,11,Friday,35,False,0.0286,0.737,positive
POST_000120,user_01643,image,1070,1,#fashion,1,0,0,2025-05-04 11:59:02,11,Sunday,63,False,0.0159,0.916,positive
POST_000121,user_00482,video,210,2,#fitness|#fashion,1,0,0,2025-05-22 11:59:02,11,Thursday,14,False,0.0714,0.778,positive
POST_000122,user_04180,text,920,1,#fun,0,0,0,2025-09-24 11:59:02,11,Wednesday,9,False,0.0,0.812,positive
POST_000123,user_04329,text,670,2,#nature|#work,2,0,0,2025-05-14 11:59:02,11,Wednesday,296,False,0.0068,0.663,positive
POST_000124,user_04428,video,600,1,#gaming,4,1,0,2025-07-08 11:59:02,11,Tuesday,58,False,0.0862,0.974,positive
POST_000125,user_01189,text,340,1,#fun,0,0,0,2025-07-23 11:59:02,11,Wednesday,10,False,0.0,0.605,positive
POST_000126,user_00778,image,630,0,,4,1,0,2025-09-02 11:59:02,11,Tuesday,86,False,0.0581,0.816,positive
POST_000127,user_04531,text,1350,0,,9,2,0,2025-05-11 11:59:02,11,Sunday,670,False,0.0164,0.641,positive
POST_000128,user_01072,image,880,2,#gaming|#tech,5,0,0,2025-07-07 11:59:02,11,Monday,203,False,0.0246,0.851,positive
POST_000129,user_01473,image,40,0,,47,6,4,2025-07-06 11:59:02,11,Sunday,2119,False,0.0269,0.782,positive
POST_000130,user_00764,video,370,2,#gaming|#photography,53,7,0,2025-05-21 11:59:02,11,Wednesday,963,False,0.0623,0.547,neutral
POST_000131,user_03816,video,70,3,#art|#fun|#food,3,0,0,2025-08-07 11:59:02,11,Thursday,89,False,0.0337,0.772,positive
POST_000132,user_01594,image,360,4,#life|#gaming|#fashion|#sports,1,0,0,2025-08-10 11:59:02,11,Sunday,97,False,0.0103,0.814,positive
POST_000133,user_04821,video,330,2,#nature|#news,2,0,0,2025-04-11 11:59:02,11,Friday,27,False,0.0741,0.68,positive
POST_000134,user_04813,image,230,1,#travel,0,0,0,2025-04-13 11:59:02,11,Sunday,10,False,0.0,0.865,positive
POST_000135,user_04598,video,240,1,#art,0,0,0,2025-05-30 11:59:02,11,Friday,5,False,0.0,0.859,positive
POST_000136,user_04191,image,20,1,#fun,9,0,0,2025-07-11 11:59:02,11,Friday,277,False,0.0325,0.655,positive
POST_000137,user_00534,video,870,1,#sports,4,0,0,2025-09-08 11:59:02,11,Monday,50,False,0.08,0.79,positive
POST_000138,user_04489,text,380,0,,26,4,2,2025-05-29 11:59:02,11,Thursday,2162,False,0.0148,0.78,positive
POST_000139,user_04943,link,120,1,#fun,1,0,0,2025-08-26 11:59:02,11,Tuesday,255,False,0.0039,0.742,positive
POST_000140,user_00619,text,580,4,#nature|#fun|#music|#travel,8,2,2,2025-05-18 11:59:02,11,Sunday,876,False,0.0137,0.845,positive
POST_000141,user_01212,text,370,1,#tech,37,1,1,2025-07-31 11:59:02,11,Thursday,3074,False,0.0127,0.878,positive
POST_000142,user_02161,text,10,2,#work|#gaming,0,0,0,2025-07-01 11:59:02,11,Tuesday,61,False,0.0,0.887,positive
POST_000143,user_02892,text,100,2,#art|#gaming,3,0,0,2025-07-10 11:59:02,11,Thursday,465,False,0.0065,0.943,positive
POST_000144,user_02895,text,200,3,#fitness|#fashion|#photography,1,0,0,2025-09-03 11:59:02,11,Wednesday,26,False,0.0385,0.864,positive
POST_000145,user_04151,text,200,0,,25,3,1,2025-07-07 11:59:02,11,Monday,1862,False,0.0156,0.724,positive
POST_000146,user_00391,text,40,2,#food|#gaming,12,0,1,2025-09-27 11:59:02,11,Saturday,961,False,0.0135,0.943,positive
POST_000147,user_01100,image,530,1,#life,40,8,0,2025-08-30 11:59:02,11,Saturday,1187,False,0.0404,0.819,positive
POST_000148,user_04146,text,200,2,#art|#fitness,3,0,0,2025-04-10 11:59:02,11,Thursday,173,False,0.0173,0.65,positive
POST_000149,user_03755,image,120,1,#art,9,0,0,2025-07-27 11:59:02,11,Sunday,330,False,0.0273,0.854,positive
POST_000150,user_02527,text,480,3,#art|#life|#fashion,0,0,0,2025-05-15 11:59:02,11,Thursday,140,False,0.0,0.567,neutral
POST_000151,user_02902,link,440,2,#fun|#tech,7,0,0,2025-08-16 11:59:02,11,Saturday,674,False,0.0104,0.972,positive
POST_000152,user_02117,link,800,3,#travel|#art|#food,0,0,0,2025-05-19 11:59:02,11,Monday,52,False,0.0,0.896,positive
POST_000153,user_03832,link,50,2,#life|#gaming,0,0,0,2025-04-29 11:59:02,11,Tuesday,61,False,0.0,0.852,positive
POST_000154,user_04564,link,530,2,#sports|#work,0,0,0,2025-06-16 11:59:02,11,Monday,471,False,0.0,0.871,positive
POST_000155,user_04405,video,860,1,#life,4,0,0,2025-06-04 11:59:02,11,Wednesday,74,False,0.0541,0.698,positive
POST_000156,user_03245,link,430,0,,0,0,0,2025-05-30 11:59:02,11,Friday,6,False,0.0,0.772,positive
POST_000157,user_03991,image,100,1,#tech,0,0,0,2025-09-06 11:59:02,11,Saturday,7,False,0.0,0.936,positive
POST_000158,user_01331,text,420,2,#fun|#music,0,0,0,2025-04-04 11:59:02,11,Friday,27,False,0.0,0.775,positive
POST_000159,user_00293,image,80,1,#tech,2,0,0,2025-09-12 11:59:02,11,Friday,81,False,0.0247,0.934,positive
POST_000160,user_01361,link,1280,3,#music|#life|#nature,1,0,0,2025-07-30 11:59:02,11,Wednesday,2,False,0.5,0.892,positive
POST_000161,user_01618,image,550,2,#work|#art,8,0,0,2025-08-18 11:59:02,11,Monday,270,False,0.0296,0.903,positive
POST_000162,user_02538,text,110,2,#travel|#tech,0,0,0,2025-07-15 11:59:02,11,Tuesday,11,False,0.0,0.911,positive
POST_000163,user_03260,link,30,4,#travel|#tech|#fun|#music,4,0,0,2025-06-06 11:59:02,11,Friday,496,False,0.0081,0.694,positive
POST_000164,user_02479,video,270,1,#sports,3,0,0,2025-05-29 11:59:02,11,Thursday,47,False,0.0638,0.877,positive
POST_000165,user_04083,video,40,1,#tech,16,1,0,2025-08-28 11:59:02,11,Thursday,485,False,0.0351,0.524,neutral
POST_000166,user_03700,text,410,1,#fun,0,0,0,2025-08-24 11:59:02,11,Sunday,13,False,0.0,0.71,positive
POST_000167,user_01528,text,330,1,#tech,1,0,0,2025-07-20 11:59:02,11,Sunday,54,False,0.0185,0.954,positive
POST_000168,user_04477,text,650,1,#fun,5,0,0,2025-09-02 11:59:02,11,Tuesday,391,True,0.0128,0.758,positive
POST_000169,user_01413,text,60,1,#food,0,0,0,2025-08-29 11:59:02,11,Friday,0,False,0.0,0.515,neutral
POST_000170,user_01692,image,2030,2,#fitness|#food,2,0,0,2025-04-02 11:59:02,11,Wednesday,84,False,0.0238,0.78,positive
POST_000171,user_02372,text,580,2,#nature|#news,5,1,0,2025-04-22 11:59:02,11,Tuesday,159,False,0.0377,0.79,positive
POST_000172,user_00149,text,210,3,#travel|#art|#food,1,0,0,2025-09-15 11:59:02,11,Monday,93,False,0.0108,0.796,positive
POST_000173,user_01767,image,190,2,#art|#travel,0,0,0,2025-07-26 11:59:02,11,Saturday,11,False,0.0,0.546,neutral
POST_000174,user_01024,image,200,3,#sports|#art|#tech,0,0,0,2025-04-04 11:59:02,11,Friday,39,False,0.0,0.846,positive
POST_000175,user_04386,link,50,1,#art,2,0,0,2025-09-05 11:59:02,11,Friday,125,False,0.016,0.751,positive
POST_000176,user_04197,image,1660,0,,20,4,0,2025-09-26 11:59:02,11,Friday,625,True,0.0384,0.822,positive
POST_000177,user_02214,image,80,2,#music|#travel,1,0,0,2025-08-14 11:59:02,11,Thursday,34,False,0.0294,0.555,neutral
POST_000178,user_00091,video,320,0,,6,2,0,2025-05-13 11:59:02,11,Tuesday,219,False,0.0365,0.88,positive
POST_000179,user_02453,link,490,2,#travel|#gaming,11,0,0,2025-07-19 11:59:02,11,Saturday,922,False,0.0119,0.736,positive
POST_000180,user_00147,text,740,0,,1,0,0,2025-08-23 11:59:02,11,Saturday,128,False,0.0078,0.5,neutral
POST_000181,user_00632,video,830,4,#news|#fitness|#fun|#music,3,0,0,2025-04-19 11:59:02,11,Saturday,83,False,0.0361,0.882,positive
POST_000182,user_01169,image,200,1,#fitness,4,0,0,2025-05-31 11:59:02,11,Saturday,188,False,0.0213,0.321,negative
POST_000183,user_03384,text,20,2,#fun|#nature,25,5,3,2025-08-08 11:59:02,11,Friday,2061,False,0.016,0.758,positive
POST_000184,user_02817,text,230,5,#work|#music|#life|#nature|#news,1,0,0,2025-06-15 11:59:02,11,Sunday,143,False,0.007,0.553,neutral
POST_000185,user_04293,text,100,3,#news|#fun|#work,5,1,0,2025-05-30 11:59:02,11,Friday,160,False,0.0375,0.712,positive
POST_000186,user_02140,image,190,2,#nature|#sports,7,0,0,2025-06-09 11:59:02,11,Monday,122,False,0.0574,0.902,positive
POST_000187,user_02595,text,820,1,#nature,3,0,0,2025-08-19 11:59:02,11,Tuesday,228,False,0.0132,0.894,positive
POST_000188,user_01473,text,410,2,#art|#fun,16,6,0,2025-06-01 11:59:02,11,Sunday,2119,False,0.0104,0.75,positive
POST_000189,user_02816,image,1210,2,#photography|#news,6,1,0,2025-07-12 11:59:02,11,Saturday,217,False,0.0323,0.749,positive
POST_000190,user_01270,video,220,4,#photography|#nature|#tech|#art,4,1,0,2025-08-16 11:59:02,11,Saturday,142,False,0.0352,0.92,positive
POST_000191,user_04268,link,400,2,#gaming|#food,0,0,0,2025-05-10 11:59:02,11,Saturday,2,False,0.0,0.763,positive
POST_000192,user_00346,text,240,1,#news,18,5,0,2025-05-06 11:59:02,11,Tuesday,1775,False,0.013,0.786,positive
POST_000193,user_02402,image,1330,1,#news,0,0,0,2025-08-28 11:59:02,11,Thursday,14,False,0.0,0.961,positive
POST_000194,user_02532,image,130,1,#food,1,0,0,2025-04-26 11:59:02,11,Saturday,22,False,0.0455,0.7,positive
POST_000195,user_00313,text,120,0,,11,1,0,2025-07-29 11:59:02,11,Tuesday,533,False,0.0225,0.828,positive
POST_000196,user_02956,text,540,0,,2,1,0,2025-06-04 11:59:02,11,Wednesday,315,False,0.0095,0.806,positive
POST_000197,user_00859,video,690,2,#art|#food,2,0,0,2025-08-10 11:59:02,11,Sunday,99,False,0.0202,0.914,positive
POST_000198,user_01711,text,30,2,#fitness|#art,2,0,0,2025-04-12 11:59:02,11,Saturday,126,False,0.0159,0.592,neutral
POST_000199,user_03854,image,1290,1,#work,3,0,0,2025-08-29 11:59:02,11,Friday,72,False,0.0417,0.708,positive
POST_000200,user_01207,image,100,0,,5,0,0,2025-08-10 11:59:02,11,Sunday,204,False,0.0245,0.557,neutral
POST_000201,user_04755,image,30,2,#tech|#nature,4,0,0,2025-08-29 11:59:02,11,Friday,300,False,0.0133,0.825,positive
POST_000202,user_03691,text,1090,3,#work|#sports|#photography,3,0,0,2025-07-04 11:59:02,11,Friday,173,False,0.0173,0.906,positive
POST_000203,user_04814,text,260,1,#work,0,0,0,2025-04-26 11:59:02,11,Saturday,56,False,0.0,0.767,positive
POST_000204,user_00921,image,1040,1,#gaming,15,3,0,2025-08-22 11:59:02,11,Friday,363,True,0.0496,0.962,positive
POST_000205,user_03489,text,160,2,#sports|#nature,19,3,2,2025-06-25 11:59:02,11,Wednesday,1592,False,0.0151,0.916,positive
POST_000206,user_02101,video,690,1,#life,11,1,1,2025-04-10 11:59:02,11,Thursday,433,False,0.03,0.434,neutral
POST_000207,user_04105,text,10,2,#food|#fun,0,0,0,2025-09-09 11:59:02,11,Tuesday,21,False,0.0,0.881,positive
POST_000208,user_04196,video,250,0,,11,2,0,2025-05-03 11:59:02,11,Saturday,284,False,0.0458,0.917,positive
POST_000209,user_02941,text,250,4,#life|#music|#sports|#fashion,0,0,0,2025-05-11 11:59:02,11,Sunday,33,False,0.0,0.876,positive
POST_000210,user_02967,link,30,2,#news|#food,7,2,0,2025-05-12 11:59:02,11,Monday,504,False,0.0179,0.902,positive
POST_000211,user_00729,text,300,4,#news|#fun|#travel|#photography,8,1,0,2025-07-09 11:59:02,11,Wednesday,241,False,0.0373,0.508,neutral
