transaction_id,customer_id,amount,category,payment_method,transaction_date,is_weekend,discount_applied
TXN_00000035,CUST_000007,5.0,Sports,Apple Pay,2024-08-27,False,0.0
TXN_00000036,CUST_000008,10.24,Home,Credit Card,2024-05-18,False,0.0
TXN_00000037,CUST_000008,19.36,Clothing,Debit Card,2024-05-25,False,0.0
TXN_00000038,CUST_000008,21.96,Home,Credit Card,2024-01-27,True,0.0
TXN_00000039,CUST_000008,153.47,Electronics,Cash,2024-05-26,False,0.0
TXN_00000040,CUST_000008,151.5,Electronics,Apple Pay,2024-05-18,False,0.0
TXN_00000041,CUST_000008,245.31,Clothing,PayPal,2023-10-24,True,0.0
TXN_00000042,CUST_000008,22.48,Clothing,Debit Card,2024-10-01,False,0.0
TXN_00000043,CUST_000009,158.76,Electronics,Credit Card,2024-06-26,True,0.0
TXN_00000044,CUST_000009,5.0,Electronics,Credit Card,2023-08-21,False,0.0
TXN_00000045,CUST_000009,28.24,Books,Debit Card,2024-02-25,False,0.0
TXN_00000046,CUST_000010,14.45,Clothing,PayPal,2023-05-27,False,20.0
TXN_00000047,CUST_000010,25.46,Electronics,Debit Card,2023-01-06,False,0.0
TXN_00000048,CUST_000010,22.64,Clothing,Credit Card,2023-02-15,False,0.0
TXN_00000049,CUST_000011,39.69,Clothing,PayPal,2024-08-13,False,5.0
TXN_00000050,CUST_000011,36.18,Books,Apple Pay,2024-02-05,False,0.0
TXN_00000051,CUST_000011,11.26,Electronics,Credit Card,2024-04-15,True,
TXN_00000052,CUST_000011,13.56,Beauty,Credit Card,2023-03-24,False,0.0
TXN_00000053,CUST_000011,20.78,Beauty,Cash,2023-01-07,True,0.0
TXN_00000054,CUST_000012,8.55,Sports,Debit Card,2024-06-03,False,0.0
TXN_00000055,CUST_000012,5.0,Home,Cash,2024-10-02,False,0.0
TXN_00000056,CUST_000012,28.93,Clothing,Apple Pay,2024-05-14,True,0.0
TXN_00000057,CUST_000012,5.0,Food,Debit Card,2024-07-20,True,0.0
TXN_00000058,CUST_000012,435.95,Books,Debit Card,2023-04-24,False,5.0
TXN_00000059,CUST_000013,81.98,Electronics,Cash,2023-08-16,True,0.0
TXN_00000060,CUST_000013,34.8,Home,PayPal,2024-12-05,True,0.0
TXN_00000061,CUST_000013,5.0,Home,Credit Card,2023-12-20,False,0.0
TXN_00000062,CUST_000013,25.13,Sports,Apple Pay,2024-08-28,True,5.0
TXN_00000063,CUST_000013,10.71,Sports,Debit Card,2023-03-04,True,0.0
TXN_00000064,CUST_000013,2971.82,Electronics,Cash,2023-02-09,True,0.0
TXN_00000065,CUST_000013,19.44,Electronics,Credit Card,2024-02-18,True,0.0
TXN_00000066,CUST_000014,14.17,Books,Debit Card,2024-04-13,True,10.0
TXN_00000067,CUST_000014,14.37,Beauty,Cash,2023-04-19,False,15.0
TXN_00000068,CUST_000014,177.46,Electronics,Apple Pay,2024-12-23,False,20.0
TXN_00000069,CUST_000014,26.38,Sports,PayPal,2024-07-08,False,0.0
TXN_00000070,CUST_000014,35.3,Books,Credit Card,2023-05-16,False,15.0
TXN_00000071,CUST_000014,26.89,Sports,Debit Card,2023-03-04,True,10.0
TXN_00000072,CUST_000014,27.14,Books,Credit Card,2024-02-01,False,15.0
TXN_00000073,CUST_000015,21.89,Books,Debit Card,2024-10-27,False,0.0
TXN_00000074,CUST_000015,45.7,Clothing,Debit Card,2024-10-13,False,0.0
TXN_00000075,CUST_000015,5.0,Beauty,Credit Card,2024-03-23,False,0.0
TXN_00000076,CUST_000015,15.3,Clothing,Debit Card,2024-12-29,True,0.0
TXN_00000077,CUST_000015,36.87,Books,Credit Card,2023-08-19,False,0.0
TXN_00000078,CUST_000015,392.92,Books,Apple Pay,2023-02-09,False,5.0
TXN_00000079,CUST_000015,5.0,Sports,Credit Card,2023-10-19,False,0.0
TXN_00000080,CUST_000016,46.73,Clothing,PayPal,2024-07-21,True,
TXN_00000081,CUST_000016,17.22,Clothing,Cash,2024-08-13,True,15.0
TXN_00000082,CUST_000016,67.51,Clothing,Debit Card,2023-01-05,True,0.0
TXN_00000083,CUST_000016,28.41,Books,Credit Card,2024-09-30,False,0.0
TXN_00000084,CUST_000017,27.07,Clothing,Cash,2024-06-04,True,0.0
TXN_00000085,CUST_000017,12.45,Home,Apple Pay,2023-06-13,True,0.0
TXN_00000086,CUST_000017,167.13,Electronics,PayPal,2023-11-19,True,10.0
TXN_00000087,CUST_000017,630.33,Electronics,PayPal,2023-03-16,False,0.0
TXN_00000088,CUST_000018,48.24,Electronics,PayPal,2023-06-10,False,0.0
TXN_00000089,CUST_000018,34.07,Electronics,Cash,2024-04-30,False,10.0
TXN_00000090,CUST_000018,30.83,Books,Cash,2024-12-09,True,0.0
TXN_00000091,CUST_000018,68.44,Electronics,Credit Card,2024-01-03,True,0.0
TXN_00000092,CUST_000018,37.18,Beauty,Credit Card,2024-05-19,False,
TXN_00000093,CUST_000018,19.8,Beauty,PayPal,2023-03-11,False,0.0
TXN_00000094,CUST_000018,71.11,Electronics,Debit Card,2023-06-07,False,0.0
TXN_00000095,CUST_000018,9.0,Beauty,Apple Pay,2024-07-29,False,0.0
TXN_00000096,CUST_000019,20.8,Food,Debit Card,2023-02-13,True,0.0
TXN_00000097,CUST_000019,75.35,Electronics,Credit Card,2024-01-20,True,0.0
TXN_00000098,CUST_000019,165.06,Electronics,Apple Pay,2023-03-24,True,0.0
TXN_00000099,CUST_000019,13.92,Home,Apple Pay,2023-07-30,False,0.0
TXN_00000100,CUST_000019,21.1,Books,Credit Card,2024-08-04,True,0.0
TXN_00000101,CUST_000019,9.39,Home,Debit Card,2024-03-17,False,15.0
TXN_00000102,CUST_000020,178.6,Electronics,Credit Card,2024-11-04,False,0.0
TXN_00000103,CUST_000020,44.52,Electronics,Cash,2023-10-14,False,0.0
TXN_00000104,CUST_000020,18.16,Clothing,Credit Card,2024-07-10,False,0.0
TXN_00000105,CUST_000020,16.38,Clothing,Debit Card,2024-10-30,True,0.0
TXN_00000106,CUST_000020,73.03,Electronics,Apple Pay,2023-08-22,True,0.0
TXN_00000107,CUST_000020,5.0,Home,Credit Card,2023-10-15,True,0.0
TXN_00000108,CUST_000020,96.99,Home,Cash,2024-06-21,True,20.0
TXN_00000109,CUST_000020,135.3,Sports,PayPal,2023-01-28,True,0.0
TXN_00000110,CUST_000020,7.56,Food,PayPal,2023-09-09,False,0.0
TXN_00000111,CUST_000020,132.64,Sports,Credit Card,2024-05-26,True,0.0
TXN_00000112,CUST_000020,28.27,Electronics,Apple Pay,2024-06-02,False,0.0
TXN_00000113,CUST_000021,19.33,Books,PayPal,2023-07-30,False,0.0
TXN_00000114,CUST_000021,45.19,Sports,Debit Card,2023-07-26,True,
TXN_00000115,CUST_000021,88.07,Clothing,Credit Card,2024-09-15,True,15.0
TXN_00000116,CUST_000021,5.0,Home,PayPal,2023-04-12,False,0.0
TXN_00000117,CUST_000021,27.52,Books,Apple Pay,2023-07-12,False,0.0
TXN_00000118,CUST_000021,53.48,Clothing,Cash,2024-10-26,True,0.0
TXN_00000119,CUST_000021,24.1,Beauty,Credit Card,2023-01-15,False,0.0
TXN_00000120,CUST_000022,5.4,Home,Cash,2024-11-28,True,0.0
TXN_00000121,CUST_000022,19.86,Electronics,PayPal,2023-06-17,False,10.0
TXN_00000122,CUST_000022,23.97,Clothing,Credit Card,2024-03-08,True,0.0
TXN_00000123,CUST_000022,74.71,Electronics,PayPal,2023-04-14,False,0.0
TXN_00000124,CUST_000022,20.94,Books,Credit Card,2024-07-24,True,0.0
TXN_00000125,CUST_000022,28.48,Electronics,Cash,2024-07-13,False,0.0
TXN_00000126,CUST_000022,10.63,Sports,Apple Pay,2024-07-18,True,0.0
TXN_00000127,CUST_000022,5.41,Home,Cash,2023-09-10,True,10.0
TXN_00000128,CUST_000023,116.16,Clothing,Apple Pay,2024-10-11,True,0.0
TXN_00000129,CUST_000023,5.0,Books,Cash,2024-12-05,True,0.0
TXN_00000130,CUST_000023,27.69,Books,PayPal,2023-02-27,False,0.0
TXN_00000131,CUST_000023,36.44,Food,PayPal,2023-08-16,True,0.0
TXN_00000132,CUST_000023,359.94,Electronics,Apple Pay,2024-06-20,True,0.0
TXN_00000133,CUST_000024,120.83,Electronics,Debit Card,2024-03-25,True,20.0
TXN_00000134,CUST_000024,5.8,Home,Credit Card,2023-12-08,False,0.0
TXN_00000135,CUST_000025,9.06,Home,Apple Pay,2023-07-25,True,5.0
TXN_00000136,CUST_000025,15.37,Electronics,Apple Pay,2024-11-15,False,0.0
TXN_00000137,CUST_000025,99.78,Electronics,Cash,2023-10-10,False,0.0
TXN_00000138,CUST_000025,20.98,Home,Apple Pay,2023-08-20,True,0.0
TXN_00000139,CUST_000026,20.24,Electronics,Apple Pay,2023-05-19,True,0.0
TXN_00000140,CUST_000026,38.01,Electronics,Apple Pay,2024-06-17,False,0.0
TXN_00000141,CUST_000026,103.77,Electronics,Credit Card,2023-12-07,False,0.0
TXN_00000142,CUST_000027,13.39,Clothing,Credit Card,2024-09-06,False,0.0
TXN_00000143,CUST_000027,791.45,Electronics,Debit Card,2023-11-20,False,0.0
TXN_00000144,CUST_000027,30.79,Books,Cash,2024-03-08,False,0.0
TXN_00000145,CUST_000027,79.18,Clothing,Credit Card,2024-04-19,True,15.0
TXN_00000146,CUST_000028,58.49,Electronics,Apple Pay,2024-11-13,True,10.0
TXN_00000147,CUST_000028,92.01,Electronics,Apple Pay,2023-08-27,False,0.0
TXN_00000148,CUST_000028,5.11,Sports,Cash,2023-05-19,True,0.0
TXN_00000149,CUST_000028,42.35,Electronics,Apple Pay,2023-05-22,True,0.0
TXN_00000150,CUST_000028,23.0,Books,Cash,2024-03-07,True,0.0
TXN_00000151,CUST_000028,5.0,Books,Credit Card,2023-08-21,False,0.0
TXN_00000152,CUST_000029,26.14,Books,Credit Card,2024-07-26,False,0.0
TXN_00000153,CUST_000030,8.91,Electronics,Cash,2023-06-14,False,5.0
TXN_00000154,CUST_000030,149.77,Home,Credit Card,2023-03-21,True,0.0
TXN_00000155,CUST_000030,7.41,Sports,Apple Pay,2024-10-13,True,0.0
TXN_00000156,CUST_000030,5.0,Food,Credit Card,2024-08-03,True,20.0
TXN_00000157,CUST_000030,17.42,Sports,Cash,2023-11-27,False,0.0
TXN_00000158,CUST_000030,272.74,Electronics,Credit Card,2023-02-25,True,0.0
TXN_00000159,CUST_000030,20.66,Clothing,Apple Pay,2023-05-14,False,0.0
TXN_00000160,CUST_000030,42.99,Clothing,Debit Card,2023-01-05,False,5.0
TXN_00000161,CUST_000030,399.78,Electronics,Cash,2024-06-02,False,0.0
TXN_00000162,CUST_000031,15.54,Home,Debit Card,2023-06-11,True,0.0
TXN_00000163,CUST_000031,57.68,Food,Apple Pay,2024-08-06,True,15.0
TXN_00000164,CUST_000031,51.63,Home,Apple Pay,2023-03-09,True,0.0
TXN_00000165,CUST_000032,15.46,Clothing,PayPal,2023-01-01,True,0.0
TXN_00000166,CUST_000032,19.19,Clothing,Debit Card,2023-06-01,False,0.0
TXN_00000167,CUST_000032,63.18,Electronics,PayPal,2024-08-12,False,0.0
TXN_00000168,CUST_000032,80.08,Electronics,Apple Pay,2024-11-20,False,10.0
TXN_00000169,CUST_000032,65.43,Home,Apple Pay,2024-11-19,False,
TXN_00000170,CUST_000033,5.9,Food,Cash,2023-12-27,True,0.0
TXN_00000171,CUST_000033,12.22,Beauty,Cash,2024-05-25,False,0.0
TXN_00000172,CUST_000033,28.68,Electronics,PayPal,2024-07-31,True,0.0
TXN_00000173,CUST_000033,7.43,Home,Debit Card,2024-06-26,True,
TXN_00000174,CUST_000034,63.62,Home,Apple Pay,2023-10-08,True,5.0
TXN_00000175,CUST_000034,178.24,Electronics,Cash,2024-05-21,False,0.0
TXN_00000176,CUST_000034,21.58,Beauty,Debit Card,2023-08-22,True,0.0
TXN_00000177,CUST_000034,15.05,Clothing,Cash,2024-03-14,False,0.0
TXN_00000178,CUST_000034,17.26,Books,Credit Card,2023-10-30,False,0.0
TXN_00000179,CUST_000035,16.65,Clothing,Apple Pay,2023-10-08,False,20.0
TXN_00000180,CUST_000035,428.16,Electronics,Credit Card,2024-07-30,True,0.0
TXN_00000181,CUST_000036,11.3,Clothing,Credit Card,2023-01-23,True,0.0
TXN_00000182,CUST_000036,16.89,Home,Debit Card,2024-09-20,True,0.0
TXN_00000183,CUST_000036,24.4,Books,PayPal,2023-05-15,True,5.0
TXN_00000184,CUST_000036,24.22,Books,Cash,2024-04-26,True,0.0
TXN_00000185,CUST_000036,125.35,Beauty,Cash,2024-08-29,True,10.0
TXN_00000186,CUST_000036,56.59,Clothing,Credit Card,2024-01-06,False,10.0
TXN_00000187,CUST_000036,44.85,Books,Credit Card,2024-10-28,True,0.0
TXN_00000188,CUST_000036,40.95,Electronics,PayPal,2023-10-09,True,0.0
TXN_00000189,CUST_000036,14.76,Books,Credit Card,2024-02-29,True,5.0
TXN_00000190,CUST_000037,12.66,Clothing,PayPal,2023-09-02,False,0.0
TXN_00000191,CUST_000037,76.21,Clothing,PayPal,2023-11-30,True,0.0
TXN_00000192,CUST_000037,52.52,Electronics,Credit Card,2023-06-09,True,0.0
TXN_00000193,CUST_000037,56.71,Clothing,PayPal,2024-10-14,True,20.0
TXN_00000194,CUST_000037,144.7,Clothing,Apple Pay,2024-07-20,True,0.0
TXN_00000195,CUST_000037,21.91,Books,Apple Pay,2023-03-01,False,0.0
TXN_00000196,CUST_000037,11.53,Books,Credit Card,2024-10-15,False,0.0
TXN_00000197,CUST_000038,13.63,Home,Apple Pay,2024-02-19,True,0.0
TXN_00000198,CUST_000038,58.56,Clothing,Debit Card,2023-05-14,False,0.0
TXN_00000199,CUST_000038,11.73,Clothing,Apple Pay,2024-09-12,True,
TXN_00000200,CUST_000038,10.28,Clothing,Debit Card,2024-03-27,False,0.0
TXN_00000201,CUST_000039,200.33,Home,Debit Card,2024-09-27,False,0.0
TXN_00000202,CUST_000039,5.0,Beauty,Credit Card,2024-06-15,False,0.0
TXN_00000203,CUST_000039,72.9,Food,Cash,2024-07-12,True,0.0
TXN_00000204,CUST_000039,197.89,Electronics,Cash,2023-06-07,True,0.0
TXN_00000205,CUST_000039,50.63,Electronics,Credit Card,2024-03-05,False,20.0
TXN_00000206,CUST_000039,121.93,Clothing,Apple Pay,2023-10-18,False,0.0
TXN_00000207,CUST_000039,12.59,Clothing,Apple Pay,2023-04-12,False,0.0
TXN_00000208,CUST_000040,147.6,Electronics,Debit Card,2023-03-14,False,0.0
TXN_00000209,CUST_000040,6.76,Beauty,Debit Card,2024-10-18,False,0.0
TXN_00000210,CUST_000040,2595.79,Electronics,Credit Card,2024-09-23,False,0.0
TXN_00000211,CUST_000041,8.35,Clothing,Credit Card,2023-05-26,True,0.0
TXN_00000212,CUST_000041,27.81,Clothing,Debit Card,2024-05-25,False,0.0
TXN_00000213,CUST_000042,34.19,Electronics,Cash,2024-11-17,False,0.0
TXN_00000214,CUST_000042,18.59,Food,PayPal,2023-08-21,True,0.0
TXN_00000215,CUST_000042,35.21,Beauty,Cash,2024-12-17,True,0.0
TXN_00000216,CUST_000042,12.59,Home,Apple Pay,2024-09-04,True,20.0
TXN_00000217,CUST_000042,11.21,Beauty,Debit Card,2024-12-26,False,15.0
TXN_00000218,CUST_000043,36.27,Books,Cash,2024-11-23,False,0.0
TXN_00000219,CUST_000043,30.51,Clothing,PayPal,2023-06-17,False,0.0
TXN_00000220,CUST_000043,26.73,Sports,Credit Card,2024-03-31,False,0.0
TXN_00000221,CUST_000043,5.0,Beauty,PayPal,2023-09-15,False,0.0
TXN_00000222,CUST_000043,6.95,Home,Cash,2024-01-20,False,0.0
TXN_00000223,CUST_000044,49.02,Sports,Apple Pay,2023-06-30,False,0.0
TXN_00000224,CUST_000044,1592.92,Electronics,Debit Card,2024-05-19,False,0.0
TXN_00000225,CUST_000044,22.46,Clothing,Debit Card,2024-11-12,False,
TXN_00000226,CUST_000044,6.62,Sports,PayPal,2024-11-21,True,0.0
TXN_00000227,CUST_000044,50.21,Home,Credit Card,2023-02-01,True,20.0
TXN_00000228,CUST_000044,241.29,Sports,Credit Card,2024-05-03,False,0.0
TXN_00000229,CUST_000044,21.81,Electronics,PayPal,2024-02-29,False,0.0
TXN_00000230,CUST_000045,71.04,Electronics,Apple Pay,2024-04-15,False,0.0
TXN_00000231,CUST_000045,58.52,Home,Credit Card,2023-10-04,True,0.0
TXN_00000232,CUST_000045,126.9,Home,PayPal,2023-12-17,False,0.0
TXN_00000233,CUST_000045,34.98,Electronics,Apple Pay,2024-01-07,False,0.0
TXN_00000234,CUST_000046,39.69,Clothing,Apple Pay,2024-05-06,False,0.0
TXN_00000235,CUST_000046,16.77,Clothing,PayPal,2024-09-21,True,0.0
TXN_00000236,CUST_000046,86.02,Beauty,Debit Card,2023-02-25,False,0.0
TXN_00000237,CUST_000046,503.11,Electronics,Credit Card,2023-11-15,False,0.0
TXN_00000238,CUST_000046,31.06,Electronics,Apple Pay,2023-12-09,True,0.0
TXN_00000239,CUST_000046,81.8,Home,Credit Card,2023-11-26,True,0.0
TXN_00000240,CUST_000046,40.29,Clothing,Cash,2023-01-01,False,0.0
TXN_00000241,CUST_000047,23.74,Books,Apple Pay,2023-06-02,True,20.0
TXN_00000242,CUST_000047,39.58,Clothing,PayPal,2023-02-27,False,0.0
TXN_00000243,CUST_000047,21.7,Clothing,Cash,2023-02-25,True,0.0
TXN_00000244,CUST_000047,13.93,Beauty,Cash,2023-03-02,False,15.0
TXN_00000245,CUST_000047,26.91,Books,Apple Pay,2024-03-29,False,0.0
TXN_00000246,CUST_000047,39.12,Clothing,PayPal,2024-02-27,False,20.0
TXN_00000247,CUST_000048,8.93,Clothing,Apple Pay,2023-10-05,False,0.0
TXN_00000248,CUST_000048,26.91,Clothing,Cash,2023-08-13,True,0.0
TXN_00000249,CUST_000048,12.05,Sports,PayPal,2024-12-30,False,0.0
TXN_00000250,CUST_000048,33.72,Books,Cash,2023-06-06,False,0.0
TXN_00000251,CUST_000049,36.18,Books,Cash,2024-02-06,False,0.0
TXN_00000252,CUST_000049,109.7,Electronics,Cash,2023-07-11,True,0.0
TXN_00000253,CUST_000049,97.96,Clothing,PayPal,2023-09-21,False,0.0
TXN_00000254,CUST_000049,109.94,Electronics,Credit Card,2023-07-19,True,0.0
TXN_00000255,CUST_000050,23.17,Books,Credit Card,2023-03-09,False,0.0
TXN_00000256,CUST_000050,11.54,Home,Credit Card,2023-10-11,True,0.0
TXN_00000257,CUST_000050,10.69,Books,PayPal,2024-02-20,False,0.0
TXN_00000258,CUST_000050,8.95,Electronics,Credit Card,2024-10-18,True,0.0
TXN_00000259,CUST_000051,249.31,Beauty,Cash,2023-10-13,True,0.0
TXN_00000260,CUST_000051,119.18,Sports,PayPal,2024-08-06,False,0.0
TXN_00000261,CUST_000051,49.62,Clothing,Debit Card,2023-05-01,True,0.0
TXN_00000262,CUST_000051,19.7,Home,Debit Card,2024-01-26,True,15.0
TXN_00000263,CUST_000052,13.0,Sports,PayPal,2023-10-16,False,10.0
TXN_00000264,CUST_000052,5.0,Beauty,PayPal,2023-04-11,True,0.0
TXN_00000265,CUST_000053,11.96,Beauty,Cash,2023-04-06,True,0.0
TXN_00000266,CUST_000053,19.62,Books,Cash,2024-09-02,True,20.0
TXN_00000267,CUST_000053,40.08,Books,Credit Card,2024-10-17,False,0.0
TXN_00000268,CUST_000053,27.1,Electronics,PayPal,2023-11-12,True,0.0
TXN_00000269,CUST_000053,72.06,Clothing,Apple Pay,2023-04-09,True,0.0
TXN_00000270,CUST_000054,37.14,Clothing,Cash,2023-10-12,True,0.0
TXN_00000271,CUST_000054,87.97,Electronics,Credit Card,2024-07-24,True,0.0
TXN_00000272,CUST_000054,21.77,Clothing,Cash,2023-06-07,False,
TXN_00000273,CUST_000054,7.35,Sports,Apple Pay,2024-05-11,False,0.0
TXN_00000274,CUST_000055,1307.1,Electronics,Credit Card,2023-08-25,True,10.0
TXN_00000275,CUST_000055,405.73,Electronics,Apple Pay,2023-04-05,False,0.0
TXN_00000276,CUST_000055,70.21,Sports,Debit Card,2024-12-03,False,0.0
TXN_00000277,CUST_000055,174.12,Sports,PayPal,2024-10-22,True,0.0
TXN_00000278,CUST_000055,7.67,Home,Cash,2023-08-05,True,0.0
TXN_00000279,CUST_000056,172.18,Clothing,Credit Card,2023-01-11,True,0.0
TXN_00000280,CUST_000056,78.5,Food,PayPal,2024-09-29,True,0.0
TXN_00000281,CUST_000056,11.94,Clothing,Apple Pay,2023-02-26,False,0.0
TXN_00000282,CUST_000056,52.3,Electronics,Cash,2023-06-26,True,0.0
TXN_00000283,CUST_000056,37.36,Sports,PayPal,2023-07-23,False,5.0
TXN_00000284,CUST_000056,5.0,Home,Credit Card,2023-05-01,True,0.0
TXN_00000285,CUST_000056,23.46,Books,Cash,2023-10-11,True,0.0
TXN_00000286,CUST_000056,75.71,Clothing,Debit Card,2024-09-29,False,0.0
TXN_00000287,CUST_000056,17.2,Beauty,Debit Card,2024-04-26,False,5.0
TXN_00000288,CUST_000057,37.84,Clothing,Apple Pay,2023-11-24,True,0.0
TXN_00000289,CUST_000058,24.53,Books,Debit Card,2023-05-31,False,5.0
TXN_00000290,CUST_000058,515.52,Electronics,PayPal,2024-05-09,False,0.0
TXN_00000291,CUST_000058,30.84,Sports,Apple Pay,2023-07-22,True,
TXN_00000292,CUST_000058,24.6,Electronics,PayPal,2023-11-30,True,0.0
TXN_00000293,CUST_000058,7.58,Beauty,Cash,2023-10-27,True,0.0
TXN_00000294,CUST_000058,36.97,Electronics,Apple Pay,2023-07-11,False,0.0
TXN_00000295,CUST_000058,54.58,Beauty,Cash,2023-07-13,False,15.0
TXN_00000296,CUST_000058,33.77,Books,PayPal,2024-06-02,False,0.0
TXN_00000297,CUST_000058,26.48,Books,PayPal,2023-12-27,True,0.0
TXN_00000298,CUST_000058,28.37,Electronics,Debit Card,2024-12-24,True,0.0
TXN_00000299,CUST_000058,13.59,Food,Credit Card,2023-03-07,True,0.0
TXN_00000300,CUST_000059,444.61,Electronics,Apple Pay,2023-01-26,True,0.0
TXN_00000301,CUST_000059,18.3,Books,PayPal,2024-03-30,False,0.0
TXN_00000302,CUST_000059,311.84,Electronics,Cash,2024-06-05,False,15.0
TXN_00000303,CUST_000060,19.38,Electronics,Cash,2024-08-24,False,0.0
TXN_00000304,CUST_000060,6.53,Food,PayPal,2023-09-12,True,0.0
TXN_00000305,CUST_000060,8.76,Sports,Credit Card,2023-06-30,True,0.0
TXN_00000306,CUST_000060,36.29,Beauty,Cash,2024-02-04,False,0.0
TXN_00000307,CUST_000060,13.72,Sports,Apple Pay,2024-02-03,False,0.0
TXN_00000308,CUST_000060,16.33,Home,PayPal,2024-01-28,True,0.0
TXN_00000309,CUST_000060,15.15,Home,Debit Card,2023-10-15,False,0.0
TXN_00000310,CUST_000060,10.69,Food,Debit Card,2024-08-25,False,20.0
TXN_00000311,CUST_000061,39.31,Electronics,Apple Pay,2023-02-15,False,0.0
TXN_00000312,CUST_000061,19.03,Books,Cash,2023-09-27,False,15.0
TXN_00000313,CUST_000061,23.0,Clothing,Cash,2023-06-05,True,5.0
TXN_00000314,CUST_000061,29.62,Books,Apple Pay,2023-01-16,False,0.0
TXN_00000315,CUST_000062,31.64,Electronics,Apple Pay,2023-04-19,True,5.0
TXN_00000316,CUST_000063,19.67,Sports,Cash,2023-12-08,False,0.0
TXN_00000317,CUST_000063,5.27,Home,Cash,2024-01-28,False,5.0
TXN_00000318,CUST_000063,16.3,Clothing,Cash,2024-09-21,True,0.0
TXN_00000319,CUST_000063,50.5,Electronics,Cash,2024-01-28,True,0.0
TXN_00000320,CUST_000063,25.6,Home,Apple Pay,2023-04-12,False,0.0
TXN_00000321,CUST_000063,8.69,Home,Apple Pay,2023-01-27,True,0.0
TXN_00000322,CUST_000063,8.63,Home,PayPal,2024-07-25,False,10.0
TXN_00000323,CUST_000063,21.82,Sports,Debit Card,2023-04-26,True,15.0
TXN_00000324,CUST_000063,32.24,Beauty,Debit Card,2024-07-26,True,0.0
TXN_00000325,CUST_000063,19.5,Sports,Cash,2023-02-26,False,10.0
TXN_00000326,CUST_000064,168.93,Electronics,Cash,2024-04-25,False,0.0
TXN_00000327,CUST_000064,27.96,Sports,PayPal,2023-06-30,True,0.0
TXN_00000328,CUST_000064,12.59,Clothing,Credit Card,2024-06-22,False,5.0
TXN_00000329,CUST_000064,187.81,Clothing,Debit Card,2023-04-18,True,15.0
TXN_00000330,CUST_000065,17.02,Food,PayPal,2024-02-01,True,5.0
TXN_00000331,CUST_000065,10.5,Clothing,Credit Card,2024-05-16,True,0.0
TXN_00000332,CUST_000066,30.5,Books,Debit Card,2023-05-24,False,0.0
TXN_00000333,CUST_000066,46.05,Clothing,Credit Card,2024-06-29,False,0.0
